,heat,speed,ra,rl,rv,y_fb,x_fb
0,1200,1.1,25,15,12,-1,0
1,1200,1.1,25,15,12,-0.947368421,1.917275624
2,1200,1.1,25,15,12,-0.894736842,2.51446871
3,1200,1.1,25,15,12,-0.842105263,2.902279722
4,1200,1.1,25,15,12,-0.789473684,3.185607869
5,1200,1.1,25,15,12,-0.736842105,3.399395926
6,1200,1.1,25,15,12,-0.684210526,3.569652478
7,1200,1.1,25,15,12,-0.631578947,3.702976287
8,1200,1.1,25,15,12,-0.578947368,3.807219424
9,1200,1.1,25,15,12,-0.526315789,3.887660922
10,1200,1.1,25,15,12,-0.473684211,3.944495066
11,1200,1.1,25,15,12,-0.421052632,3.981884742
12,1200,1.1,25,15,12,-0.368421053,4.001626352
13,1200,1.1,25,15,12,-0.315789474,4.004494658
14,1200,1.1,25,15,12,-0.263157895,3.99446393
15,1200,1.1,25,15,12,-0.210526316,3.970108731
16,1200,1.1,25,15,12,-0.157894737,3.934605715
17,1200,1.1,25,15,12,-0.105263158,3.881534206
18,1200,1.1,25,15,12,-0.052631579,3.813059896
19,1200,1.1,25,15,12,0,3.7737111
20,1200,1.1,25,15,15,-1,0
21,1200,1.1,25,15,15,-0.947368421,1.948769759
22,1200,1.1,25,15,15,-0.894736842,2.517123009
23,1200,1.1,25,15,15,-0.842105263,2.876470682
24,1200,1.1,25,15,15,-0.789473684,3.138813084
25,1200,1.1,25,15,15,-0.736842105,3.336613236
26,1200,1.1,25,15,15,-0.684210526,3.492671132
27,1200,1.1,25,15,15,-0.631578947,3.616530637
28,1200,1.1,25,15,15,-0.578947368,3.71419359
29,1200,1.1,25,15,15,-0.526315789,3.789827064
30,1200,1.1,25,15,15,-0.473684211,3.84636099
31,1200,1.1,25,15,15,-0.421052632,3.880397856
32,1200,1.1,25,15,15,-0.368421053,3.899859266
33,1200,1.1,25,15,15,-0.315789474,3.907028701
34,1200,1.1,25,15,15,-0.263157895,3.901430651
35,1200,1.1,25,15,15,-0.210526316,3.884757121
36,1200,1.1,25,15,15,-0.157894737,3.855879947
37,1200,1.1,25,15,15,-0.105263158,3.805805107
38,1200,1.1,25,15,15,-0.052631579,3.759884629
39,1200,1.1,25,15,15,0,3.7253142
40,1200,1.1,25,15,18,-1,0
41,1200,1.1,25,15,18,-0.947368421,1.936786331
42,1200,1.1,25,15,18,-0.894736842,2.479759094
43,1200,1.1,25,15,18,-0.842105263,2.81845514
44,1200,1.1,25,15,18,-0.789473684,3.060894062
45,1200,1.1,25,15,18,-0.736842105,3.249037911
46,1200,1.1,25,15,18,-0.684210526,3.399149645
47,1200,1.1,25,15,18,-0.631578947,3.515501212
48,1200,1.1,25,15,18,-0.578947368,3.607111445
49,1200,1.1,25,15,18,-0.526315789,3.678445892
50,1200,1.1,25,15,18,-0.473684211,3.732263235
51,1200,1.1,25,15,18,-0.421052632,3.767323731
52,1200,1.1,25,15,18,-0.368421053,3.788898953
53,1200,1.1,25,15,18,-0.315789474,3.79861884
54,1200,1.1,25,15,18,-0.263157895,3.797831783
55,1200,1.1,25,15,18,-0.210526316,3.786550053
56,1200,1.1,25,15,18,-0.157894737,3.762036801
57,1200,1.1,25,15,18,-0.105263158,3.723793003
58,1200,1.1,25,15,18,-0.052631579,3.691869742
