,heat,speed,ra,rl,rv,y_fb,x_fb,fb_depth
0,1200,1.1,25,15,12,-1,0,2.8881743
1,1200,1.1,25,15,12,-0.947368421,1.917275624,2.8881743
2,1200,1.1,25,15,12,-0.894736842,2.51446871,2.8881743
3,1200,1.1,25,15,12,-0.842105263,2.902279722,2.8881743
4,1200,1.1,25,15,12,-0.789473684,3.185607869,2.8881743
5,1200,1.1,25,15,12,-0.736842105,3.399395926,2.8881743
6,1200,1.1,25,15,12,-0.684210526,3.569652478,2.8881743
7,1200,1.1,25,15,12,-0.631578947,3.702976287,2.8881743
8,1200,1.1,25,15,12,-0.578947368,3.807219424,2.8881743
9,1200,1.1,25,15,12,-0.526315789,3.887660922,2.8881743
10,1200,1.1,25,15,12,-0.473684211,3.944495066,2.8881743
11,1200,1.1,25,15,12,-0.421052632,3.981884742,2.8881743
12,1200,1.1,25,15,12,-0.368421053,4.001626352,2.8881743
13,1200,1.1,25,15,12,-0.315789474,4.004494658,2.8881743
14,1200,1.1,25,15,12,-0.263157895,3.99446393,2.8881743
15,1200,1.1,25,15,12,-0.210526316,3.970108731,2.8881743
16,1200,1.1,25,15,12,-0.157894737,3.934605715,2.8881743
17,1200,1.1,25,15,12,-0.105263158,3.881534206,2.8881743
18,1200,1.1,25,15,12,-0.052631579,3.813059896,2.8881743
19,1200,1.1,25,15,12,0,3.7737111,2.8881743
20,1200,1.1,25,15,15,-1,0,2.9274408
21,1200,1.1,25,15,15,-0.947368421,1.948769759,2.9274408
22,1200,1.1,25,15,15,-0.894736842,2.517123009,2.9274408
23,1200,1.1,25,15,15,-0.842105263,2.876470682,2.9274408
24,1200,1.1,25,15,15,-0.789473684,3.138813084,2.9274408
25,1200,1.1,25,15,15,-0.736842105,3.336613236,2.9274408
26,1200,1.1,25,15,15,-0.684210526,3.492671132,2.9274408
27,1200,1.1,25,15,15,-0.631578947,3.616530637,2.9274408
28,1200,1.1,25,15,15,-0.578947368,3.71419359,2.9274408
29,1200,1.1,25,15,15,-0.526315789,3.789827064,2.9274408
30,1200,1.1,25,15,15,-0.473684211,3.84636099,2.9274408
31,1200,1.1,25,15,15,-0.421052632,3.880397856,2.9274408
32,1200,1.1,25,15,15,-0.368421053,3.899859266,2.9274408
33,1200,1.1,25,15,15,-0.315789474,3.907028701,2.9274408
